Id,SalePrice
1461,117372.42
1462,164023.4
1463,166567.14
1464,179826.79
1465,201057.15
1466,164656.86
1467,172399.22
1468,168135.47
1469,192249.94
1470,114189.82
1471,176711.58
1472,91381.0
1473,91980.26
1474,151057.0
1475,124623.57
1476,362448.76
1477,255859.9
1478,282800.44
1479,267435.29
1480,585554.8
1481,307189.83
1482,220678.78
1483,172699.09
1484,165666.78
1485,168105.71
1486,199282.35
1487,317553.01
1488,218374.5
1489,204018.3
1490,234067.12
1491,188795.5
1492,112520.5
1493,173633.6
1494,288629.11
1495,282801.06
1496,229683.7
1497,172169.54
1498,156496.0
1499,159681.87
1500,164126.0
1501,199586.16
1502,153081.93
1503,283804.42
1504,235783.77
1505,221230.25
1506,182931.72
1507,251053.04
1508,192851.55
1509,162080.0
1510,151414.04
1511,146457.1
1512,166837.54
1513,153083.54
1514,155472.59
1515,197792.4
1516,150555.0
1517,155658.85
1518,127072.0
1519,212283.07
1520,127168.5
1521,117092.5
1522,186269.75
1523,121168.68
1524,106209.15
1525,127703.67
1526,126544.78
1527,106753.0
1528,133031.83
1529,145042.59
1530,190663.3
1531,125437.0
1532,97690.0
1533,148134.5
1534,114325.0
1535,145738.52
1536,110240.3
1537,65677.0
1538,171466.64
1539,212634.0
1540,121974.04
1541,140596.65
1542,133840.0
1543,181858.92
1544,59809.93
1545,111419.04
1546,121303.04
1547,136938.9
1548,138330.4
1549,111087.08
1550,147758.34
1551,124293.0
1552,148850.0
1553,149989.75
1554,114907.0
1555,173546.34
1556,120892.75
1557,130721.57
1558,108074.33
1559,119667.0
1560,156893.02
1561,125936.42
1562,128686.5
1563,126125.18
1564,143781.91
1565,149603.34
1566,292795.68
1567,92988.27
1568,242046.38
1569,127825.41
1570,129934.0
1571,110305.39
1572,141872.7
1573,237842.28
1574,137836.05
1575,229043.01
1576,220210.03
1577,179907.8
1578,153594.0
1579,152818.5
1580,188779.0
1581,138699.25
1582,139366.28
1583,301206.36
1584,235239.58
1585,143395.25
1586,63873.44
1587,98039.76
1588,145822.54
1589,102087.0
1590,130096.13
1591,109429.0
1592,108343.55
1593,119452.54
1594,116669.07
1595,128264.5
1596,238297.16
1597,178906.5
1598,159239.67
1599,192951.0
1600,182071.7
1601,65991.33
1602,117319.35
1603,93164.45
1604,295915.38
1605,240104.85
1606,166770.05
1607,165458.5
1608,235315.06
1609,198818.1
1610,163795.0
1611,142874.0
1612,165171.85
1613,161270.54
1614,124465.0
1615,76240.05
1616,73626.43
1617,75151.93
1618,124134.21
1619,130559.5
1620,158191.9
1621,135980.6
1622,148853.58
1623,287071.62
1624,207886.65
1625,124829.92
1626,161006.13
1627,183642.6
1628,292720.66
1629,176564.86
1630,360093.85
1631,216446.0
1632,239134.78
1633,170102.83
1634,182668.72
1635,175448.93
1636,158660.5
1637,186624.6
1638,192750.0
1639,173042.81
1640,242227.48
1641,184526.32
1642,230515.97
1643,218458.0
1644,227115.88
1645,209409.1
1646,162274.0
1647,166695.37
1648,130443.34
1649,130256.58
1650,110696.21
1651,110248.83
1652,91214.16
1653,91856.93
1654,151693.02
1655,145279.05
1656,140373.5
1657,150152.52
1658,149068.5
1659,130920.75
1660,153750.0
1661,515767.23
1662,399928.81
1663,402471.22
1664,577917.58
1665,275344.78
1666,302179.0
1667,369276.56
1668,344071.32
1669,297371.26
1670,327303.54
1671,275779.62
1672,546199.07
1673,323724.7
1674,254136.05
1675,191486.89
1676,196020.89
1677,215914.0
1678,604075.36
1679,403389.99
1680,320574.98
1681,242378.66
1682,283322.15
1683,191642.4
1684,169920.54
1685,171551.1
1686,170279.6
1687,174066.29
1688,193641.31
1689,186270.8
1690,175458.56
1691,175761.2
1692,267217.8
1693,167811.51
1694,176042.22
1695,162302.57
1696,266064.25
1697,166301.1
1698,319493.64
1699,342144.58
1700,266357.16
1701,274162.5
1702,225988.0
1703,224709.0
1704,293029.46
1705,237144.81
1706,481188.86
1707,213738.9
1708,206028.3
1709,258712.2
1710,217756.75
1711,282885.1
1712,243040.16
1713,248291.68
1714,223517.0
1715,207022.35
1716,170408.09
1717,170616.54
1718,145845.5
1719,220320.01
1720,221034.5
1721,167096.0
1722,130007.0
1723,156999.5
1724,210015.35
1725,219800.85
1726,182710.12
1727,150957.05
1728,170449.17
1729,156802.5
1730,155613.5
1731,117695.54
1732,133299.5
1733,115827.49
1734,127331.64
1735,126367.75
1736,106826.73
1737,292645.82
1738,221188.15
1739,261496.51
1740,232794.76
1741,187334.95
1742,174001.58
1743,164967.77
1744,311201.54
1745,237458.58
1746,242605.85
1747,215538.83
1748,204730.7
1749,156708.5
1750,153854.37
1751,241888.32
1752,111433.74
1753,143223.75
1754,203775.2
1755,165327.04
1756,123603.04
1757,113515.0
1758,139569.2
1759,155533.76
1760,164132.0
1761,154130.52
1762,174697.7
1763,168748.54
1764,112446.21
1765,178819.97
1766,168581.81
1767,203789.86
1768,143444.84
1769,165572.09
1770,144681.25
1771,137518.58
1772,136312.75
1773,129116.5
1774,149812.0
1775,142841.75
1776,129776.0
1777,115246.58
1778,143529.25
1779,120928.54
1780,167359.74
1781,130996.5
1782,86298.52
1783,136563.5
1784,82261.44
1785,122829.42
